ICD9,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
410,0,0.022313321,0.27902928,0.024535351,0,0.045606971,0,0.051563524,0.054950766,0.042002209,0.028712885,0.097125657,0.071881123,0.077857859,0,0,0.139186695,0.023077225,0,0.021645337
414,0.213105753,0.018447995,0.037716493,0.037976652,0.017712604,0.176398918,0,0.03321065,0.053249206,0.010027465,0.045543,0.177055866,0.011535757,0,0,0,0.025279012,0.088575341,0.014269166,0.016777635
414,0,0,0.115576625,0.063435957,0.010338034,0.071167916,0.118263461,0.064237915,0.02306593,0,0.011912736,0.067688197,0.179817513,0.019175174,0,0,0.087954044,0.119280443,0,0.015963282
414,0,0.262651563,0.011705833,0.074016526,0.017592439,0.06940423,0,0.040004022,0.038461052,0.010033154,0.020650236,0.12415114,0.010727068,0,0,0,0.063784994,0.132923901,0.068193443,0.025721502
410,0,0.148225278,0,0.059112892,0.080193073,0.073447809,0,0.079329073,0.082538441,0,0.025647325,0.1683117,0,0.014587874,0.013673971,0.013357848,0.01314194,0.118279554,0.010027363,0.081488498
424,0.017817926,0,0.021154189,0.035746139,0,0.555943787,0,0.017191226,0.029321181,0,0.027036656,0.136207402,0.019956114,0.032463368,0,0.016083993,0.010294248,0.032764699,0,0
410,0,0,0,0.036031008,0.035832465,0.104279697,0,0.021313431,0.337440461,0,0.132654384,0.092927568,0.108850785,0,0,0,0.012668449,0.012907835,0.050744191,0.021949694
38,0,0,0,0.075458869,0.091115564,0.043977849,0,0.11723122,0.093821928,0.01879143,0.011313495,0.366627485,0,0,0,0,0.023200026,0.048474934,0,0.064923801
414,0,0.065455511,0.092249371,0.069364399,0.03181085,0.219453156,0,0.033054173,0.025909029,0,0.020591715,0.088433929,0.133470684,0,0,0,0.046895236,0.026714053,0.012031157,0.100688234
424,0.259519935,0.145702332,0.01170816,0.060780872,0.017578932,0.159817949,0,0.057655092,0.054674573,0.010453332,0.020637935,0.088718228,0.010766764,0,0,0,0.019002598,0.028392207,0.014251985,0.017225109
424,0.104897134,0.040230181,0.01203823,0.072119452,0.018043824,0.285478592,0,0.059662744,0.055436458,0.010290583,0.021180075,0.062820449,0.011009614,0,0,0,0.019653264,0.026839966,0.133085549,0.043488733
414,0,0,0.041289531,0.086753994,0,0.066268981,0,0.038021456,0.076522596,0,0.08102148,0.120869569,0.012778015,0.010884779,0,0.039395008,0.020154182,0.099770553,0.263752609,0.022220187
410,0,0,0.028981611,0.038768247,0.012917258,0.067416862,0,0.13590759,0.061959874,0,0.022732386,0.098930523,0.031475667,0,0,0.022242639,0.330668241,0.072575659,0.026204079,0.013204029
410,0,0,0.068140976,0.09655378,0.092313841,0.050880145,0,0.466367304,0.030782936,0,0.012955288,0.03336399,0.020101199,0,0,0,0.0312832,0.06640175,0,0
410,0,0.028337983,0.044293128,0.163779438,0.015382049,0.104914114,0,0.038790829,0.030278403,0,0.157229349,0.061122358,0,0.010544493,0,0,0.073941648,0.028592423,0.203697324,0.016671032
410,0,0.059542738,0,0.437548637,0.032060318,0.069464341,0,0.03564601,0.042158909,0,0.056146219,0.118132465,0,0.02824861,0,0,0,0.076655425,0,0
410,0,0.011734502,0.037060123,0.026676361,0,0.045197297,0,0.010627675,0.019699972,0.010409549,0.086691059,0.377156705,0.018655542,0,0,0,0.067263931,0.091776758,0.177932203,0
414,0,0.013235045,0.129393607,0.037819248,0.017141132,0.142313585,0,0.038466077,0.027116625,0,0.062106799,0.064552769,0.060791314,0,0.103852153,0,0.02778342,0.173935458,0.015555646,0.0509299
38,0,0.012318487,0,0.097284868,0.083229199,0.124550618,0.084048532,0.064450897,0.163393512,0.051005591,0,0.07915812,0.012639599,0,0,0,0,0.029259287,0.012526774,0.161188632
38,0,0,0,0.184213832,0.176692814,0.026973126,0,0.131866097,0.104038469,0.029946914,0.146872729,0.123143144,0,0,0,0,0.013165319,0,0.012495342,0.02271984
38,0,0.031124629,0,0.401787013,0,0.093593962,0.034929261,0.137606457,0.076769494,0,0,0.121302903,0,0,0,0,0,0.019054098,0.032115228,0.012477015
414,0,0.010439781,0,0.102070346,0,0.036011662,0.013528343,0.016310295,0.059266057,0,0.023139436,0.278986245,0,0,0,0.018337969,0.017205179,0.073975198,0.32048583,0
38,0,0,0,0.09161298,0.295587182,0.030292941,0,0.053209294,0.017298028,0.101935767,0.015539719,0.049727056,0.06747131,0.03772869,0,0,0.078942798,0.024745531,0,0.099320389
414,0,0.101547115,0.033828005,0.042241383,0.016091753,0.197236463,0,0.037524644,0.028857918,0,0.05226456,0.09940017,0.148638397,0,0,0,0.102623545,0.050991476,0.014042887,0.038497791
414,0,0.127294719,0,0.060584731,0,0.100429036,0,0.020302678,0.170491159,0.024670044,0.031814761,0.225001872,0.035154182,0,0,0,0,0.042945858,0,0.11715848
410,0.025029311,0.02040373,0.010945848,0.070255257,0.031094138,0.01640293,0.01610635,0.044028599,0.030578749,0,0.062733933,0.104997933,0,0.082917154,0,0,0.020081619,0.054203488,0.389734805,0.012953853
38,0,0,0.047292907,0.118560351,0.163661405,0.04948961,0,0.279989064,0.102886699,0,0,0.164782554,0,0,0,0,0,0.018365098,0.019424729,0
414,0,0.044523284,0.013076767,0.041475847,0.019586867,0.082567334,0,0.061849747,0.058037113,0.01128895,0.051513389,0.175505936,0.011943179,0,0,0.091098309,0.170098007,0.045960642,0.015742244,0.07572367
38,0.058237623,0.030181542,0,0.08113236,0.031207612,0.054732397,0.045184899,0.014956458,0.07065241,0.023738146,0.151164174,0.240864709,0,0,0.010448722,0,0.018391892,0.036728382,0.028574694,0.091997936
410,0,0.01203287,0.01120169,0.033867929,0.015584158,0.066168725,0,0.063623823,0.024653552,0,0.056158196,0.062330037,0.034766719,0,0,0,0.368811727,0.026979076,0.012975914,0.175423861
38,0,0.030091962,0,0.206109643,0.342285305,0.082449324,0.017190807,0.019282779,0.027793935,0,0.010703354,0.165729567,0,0,0,0,0,0.024838218,0.031426433,0
38,0,0.010266819,0,0.047073014,0.128995895,0.071186766,0.124383546,0.028864279,0.071754165,0.240690514,0.085108921,0.074101664,0.032173652,0.023438329,0,0,0,0.021965913,0,0.021346617
38,0,0,0,0.070876032,0.03011108,0.05402476,0,0.13323307,0.108347014,0.035324816,0.075567648,0.36586684,0,0,0,0,0,0.022008842,0.025730981,0.03232342
410,0,0.051780868,0,0.08514303,0,0.067013413,0,0.023509122,0.064856842,0.014850699,0.052957591,0.391470194,0,0,0,0,0.033254769,0.026406068,0.151079565,0.013112798
414,0,0,0.079184301,0.127116978,0,0.044022445,0,0.086073466,0.027625922,0,0.011722301,0.050523691,0,0,0.016806891,0,0.210222498,0.277429163,0.01534129,0
424,0,0.015121667,0.015393624,0.042563424,0.019584557,0.485809088,0,0.034686454,0.031060047,0.011888512,0.030561741,0.068417326,0.097137034,0,0,0,0.021315889,0.057724416,0.016178843,0.019251669
410,0,0.018408652,0.122419961,0.066020198,0.026985191,0.0794416,0,0.042960729,0.05357632,0,0.02840222,0.040307164,0,0.016916662,0,0,0.412149668,0.055610545,0,0
410,0.020753849,0.011347219,0.034019459,0.028501209,0.010889954,0.092190027,0,0.023294045,0.090705663,0,0.059384238,0.239899188,0,0,0,0,0.039654303,0.036190566,0.256746352,0.026252443
38,0.043676388,0.023082877,0,0.332840532,0.068652503,0.025209319,0,0.022616381,0.017027635,0.069785282,0.024405375,0.161599576,0.011848868,0,0,0,0.027999679,0.077238321,0.040284954,0.042717654
410,0,0.014078559,0.015648846,0.025399739,0.017906651,0.033881716,0.029298771,0.090000138,0,0,0.024549695,0.386647731,0,0,0,0,0.014966394,0.054634195,0.263775259,0
410,0,0,0.035121266,0.034493349,0.019210875,0.026684562,0.012189905,0.046169464,0,0,0.054422189,0.088478796,0.135813564,0.068943016,0,0,0.07787288,0.03220677,0.326828182,0.019697729
410,0,0,0.018812902,0.038908303,0.020957438,0.086862095,0.018626979,0.013265698,0.17894277,0,0.174938172,0.147919178,0.029283764,0.011721673,0,0,0.068030834,0.018207584,0.142391041,0.021345261
414,0,0.052666944,0.015725622,0.050045136,0.023633692,0.29243204,0.011012726,0.040217131,0.037387613,0.013478544,0.062491659,0.1180325,0.014410749,0.010546948,0,0,0.025172714,0.065561645,0.023003599,0.125548646
414,0,0,0,0.074371099,0.052881654,0.061781526,0.044350442,0.050199628,0.018393302,0.22955814,0.08212392,0.238898501,0,0,0,0,0.012592269,0.055533193,0.028732851,0.011711445
414,0.030177429,0,0,0.039434645,0.040511619,0.053107321,0,0.076605752,0.050640408,0,0.010757149,0.136205435,0.369207889,0,0,0,0.102871582,0.039626602,0,0
410,0,0.016320761,0.034646373,0.092014939,0,0.061743226,0,0.017815132,0.016903784,0,0.011485024,0.101582453,0,0,0,0,0.010387142,0.147196487,0.448435605,0
410,0,0,0,0.029797694,0.032943133,0.031912163,0.021254757,0.139077425,0.01801228,0,0.401949286,0.066378832,0,0,0,0,0.055012479,0.125129849,0.02286011,0.0128702
410,0,0.0983309,0.147462666,0.042843431,0.051359788,0.048322115,0,0.187765643,0.03340489,0.011596652,0.052249845,0.070112057,0.013080579,0.027265947,0,0,0.055824447,0.02999077,0.075288415,0.029566133
414,0,0.014052762,0.059353177,0.126139626,0.017580803,0.287739128,0,0.032482218,0.027816696,0.010026517,0.020636577,0.063398845,0.053684629,0,0,0,0.040966172,0.15371336,0.017113322,0.043868203
38,0,0.026820887,0,0.224564925,0.147089854,0.040544063,0,0.104110263,0.152639151,0.036106709,0.026193228,0.1333801,0.021955702,0,0.01052101,0,0.022082414,0.013505378,0.020506322,0
424,0.031735711,0.010011582,0.190375388,0.053040199,0.073268749,0.086995162,0,0.105825089,0.038793907,0,0.017443759,0.136334702,0.066173404,0,0,0,0.048290968,0.049700871,0.010209682,0.057853248
414,0.011367516,0.023397025,0.223512128,0.027074883,0.016045511,0.037835173,0,0.074858584,0.021325581,0,0.046275776,0.111995287,0.075495936,0.194828972,0,0.014056532,0,0.063898899,0,0.042870257
38,0,0,0,0.097904034,0.046279542,0.054904815,0.01596174,0.062151588,0.12776348,0.034554455,0.02260448,0.422241479,0.014430081,0,0,0,0.01687987,0.050387282,0.010624095,0.011324404
38,0,0.013180595,0,0.059768382,0.161345229,0.069205277,0.114668459,0.060683317,0.010686323,0.039501227,0.017615676,0.159115955,0,0.010154624,0,0,0.012837774,0.010032609,0,0.248359442
414,0,0.053571373,0.195814922,0.049170081,0.018042784,0.080980629,0,0.030703159,0.054814085,0.03655399,0.055094596,0.135156468,0.082120009,0.034318592,0,0,0.019217728,0.079389356,0.014650289,0.037770126
38,0,0.011756086,0,0.369088084,0.132680923,0.014767376,0,0.078309931,0.034119669,0.050313201,0.035825595,0.131118238,0,0.056149632,0,0,0,0.015295197,0,0.034414653
38,0,0,0,0.063114233,0.083826579,0.023897814,0,0.033181772,0.331198245,0,0,0.242346182,0,0,0.026723485,0.062274579,0.017160984,0.036657054,0.014349261,0.01631972
38,0,0.05978201,0.010836872,0.375350893,0.147345454,0.046156015,0,0.06539613,0.022511968,0,0,0.033954304,0.017441208,0,0,0,0.14018248,0.028069386,0,0.02519916
410,0,0,0,0.016475337,0.156601995,0.058938719,0,0.135689422,0.019665418,0,0.043785591,0.036330875,0.03791932,0.01578775,0,0,0.169281989,0,0,0.278312206
414,0,0.011364436,0.400651962,0.031054126,0.016436206,0.082456306,0,0.050007079,0.027759477,0,0.035456043,0.10794203,0,0,0,0,0.15035744,0.020558428,0.011098187,0.013896622
414,0,0.026039751,0,0.031574499,0.01491098,0.194296256,0,0.069705866,0.089534998,0,0.056901086,0.175267816,0.058112606,0,0,0,0.018399356,0.087314777,0.098340653,0.035775572
414,0,0.115066536,0,0.026631616,0,0.259257197,0,0.099628463,0.148421109,0,0.011033715,0.077533074,0,0,0.02092194,0,0.010228401,0.158124894,0,0.024488818
410,0,0.060365044,0.091544181,0.035305534,0.024215298,0.049962595,0.022716122,0.075283721,0.175075695,0,0.01888218,0.11258965,0.088551171,0,0,0,0.044592392,0.107073598,0.05555379,0.01620196
414,0,0.0437002,0.01930391,0.052986573,0.045827478,0.196695879,0,0.035685681,0.053724036,0.011342946,0.02299202,0.145119116,0.012648748,0,0,0,0.074544914,0.06731078,0.015869297,0.168241054
414,0,0.536422312,0.024143986,0.040983859,0,0.105654165,0,0.016785145,0.014982994,0,0.011151178,0.120273858,0,0,0,0,0.010226333,0.065099694,0,0.01034172
414,0.054609962,0.035921164,0,0.025236888,0,0.06694559,0,0.041405648,0.085434191,0.013605982,0.037744921,0.094627269,0,0,0,0,0.06558679,0.161042124,0.205394879,0.088044941
410,0,0,0.254961342,0.042066168,0.033673126,0.099169977,0,0.042300731,0.016008964,0,0.188491896,0.056185633,0.026648061,0,0,0,0.132092491,0.022872763,0.017896712,0.035391953
410,0,0.11107675,0.015722824,0.050036233,0.023629488,0.166580215,0.011010768,0.040209975,0.041322306,0.066596448,0.057056017,0.121701568,0.083186641,0.010545072,0,0,0.025168236,0.064313218,0.019303577,0.073803224
38,0.010938733,0,0,0.052661557,0.274041951,0.024487644,0.180467352,0.046461385,0.192526996,0.012203122,0.017792083,0.028877228,0.012427022,0,0.066466652,0,0.024689823,0,0.014149717,0.01987
414,0,0.014307121,0.012329418,0.084241144,0.018582232,0.444676369,0,0.031547561,0.05717824,0.010934958,0.054599024,0.092268057,0.011298513,0,0,0,0.019736256,0.084176145,0.014892514,0.017720703
38,0,0.03934009,0,0.076817617,0.473871231,0.066811971,0,0.116698369,0.076646999,0,0.013579516,0.038453113,0,0,0,0,0.017254841,0.025670651,0,0
38,0,0,0,0.103862219,0.072811931,0.012522583,0.095685758,0.011360806,0.200084865,0.015611072,0.017166853,0.10971617,0.012810024,0.044252571,0.068461351,0.131937817,0.012461924,0.017376378,0,0.05542127
38,0,0,0,0.08612477,0.136155546,0.01230303,0.018740494,0.126784921,0.342253596,0.010123681,0,0.171093762,0,0,0.01609166,0,0.017272921,0.011654133,0,0.013831818
38,0,0.027790502,0,0.052425064,0.379325479,0.036468942,0,0.122228138,0.041463688,0.052696869,0.041341819,0.081675373,0,0,0,0,0.013284492,0.034960505,0.030638725,0.048568588
424,0.087681599,0,0,0.072311834,0.010563481,0.104263142,0.05126176,0.121205263,0.093074702,0.03918194,0.011033125,0.226477087,0.051611885,0,0.029577473,0,0.017609613,0.042457115,0.010169876,0
414,0,0.012657458,0.010666076,0.278675884,0.015796527,0.15547125,0,0.02761361,0.047348503,0,0.018981922,0.082738735,0.062392663,0.031715292,0,0,0.15711543,0.023206118,0.0127477,0.034402814
38,0,0.027648861,0.016789751,0.074367277,0,0.046868313,0,0.040541388,0.180734381,0,0.013902554,0.10645254,0.037956014,0.025615053,0,0.227376223,0,0.036168881,0.088126436,0.045702294
410,0.010569144,0.02115532,0.018230977,0.058018163,0.027398935,0.111889862,0.012767239,0.086511254,0.043344088,0.015625902,0.032161228,0.168041632,0.016942684,0.012227253,0,0,0.228393465,0.040755581,0.022104869,0.062830925
424,0.026764989,0.345817029,0.02798206,0.028273987,0.013840375,0.172521025,0,0.060126629,0.021131026,0,0.015535857,0.063582093,0,0,0.041511018,0,0.014050581,0.096464448,0.010793309,0.031753786
38,0,0,0.016095752,0.071640722,0.153189629,0.025007105,0.020280773,0.172491238,0.068281613,0.024502108,0.030071344,0.334309906,0,0,0,0,0,0.019525528,0.016603639,0.023100717
410,0,0.033439845,0.101058789,0.074521624,0.011945181,0.065697417,0,0.044603992,0.05294884,0,0.065234356,0.090049453,0.073967107,0.089543104,0,0,0.211297855,0.02976238,0.012747619,0.022607353
414,0,0.147284925,0.042154461,0.02662633,0.010569851,0.09341047,0.034595225,0.089254193,0.016685268,0,0.012046375,0.0933121,0.05427679,0.06420891,0.017308129,0,0.010991911,0.252475739,0,0.011444929
38,0,0,0,0.10330151,0.239251927,0.066797554,0,0.132264033,0.086807854,0.034500033,0.013785729,0.154427439,0,0,0,0,0.042311177,0.031506762,0.013221901,0.061880186
414,0.028104197,0.011031928,0.254106879,0.082465775,0.015795112,0.14532128,0,0.045629412,0.02734446,0,0.036059137,0.106640935,0.051011663,0,0,0,0.067447692,0.074910454,0.013108844,0.014044932
38,0,0.013301437,0.015802767,0.032095499,0.180044279,0.109622486,0.037985958,0.014080716,0.146288157,0.027742671,0.026938401,0.212960124,0,0,0.020569358,0,0,0.026248198,0,0.111542247
414,0,0.015410918,0,0.028479785,0.01344951,0.124303937,0,0.061975464,0.043892834,0,0.027311606,0.194367185,0.115844183,0,0.04232296,0,0.034150269,0.235543996,0.012247393,0.013670838
38,0,0.012303113,0,0.258960336,0.071728274,0.012866151,0.170227453,0.025530193,0.013589701,0,0,0.202398434,0,0.014905194,0,0,0.091569863,0.031329427,0,0.053748544
424,0,0.025269317,0,0.11138802,0.0412586,0.063732378,0.018470543,0.053986244,0.182767734,0,0.081106581,0.122645646,0.028226925,0.024673009,0.091576181,0,0,0.048951034,0.045433551,0.039482635
38,0,0,0.018404752,0.288685709,0.053310234,0.023308497,0,0.081962347,0.024215763,0.015806271,0.012829806,0.241423339,0,0.014950005,0,0,0.146066263,0.030609634,0,0.020906324
410,0,0,0,0.029791422,0.021120908,0.054505084,0.010147972,0.075155415,0.020904789,0,0.036140971,0.239543691,0.010731945,0.012893564,0,0,0.011993502,0.050918937,0.359465986,0.05150288
424,0.144955918,0.038510386,0.030436488,0.036554459,0.01640333,0.104445934,0.033937469,0.076653801,0.090347342,0,0.050928731,0.102618739,0.170001298,0,0,0,0.016912399,0.018220194,0.015960969,0.035619952
414,0,0.023498574,0.268613815,0.070333682,0.010554803,0.09512537,0,0.019999713,0.052453201,0,0.034374721,0.039836731,0.079080991,0.020059664,0,0,0.073647231,0.172232419,0,0.012006894
424,0.073442653,0.157798514,0,0.030830365,0.014361504,0.262088418,0,0.024314402,0.03661406,0.029853981,0.079154134,0.113050953,0,0,0,0,0.023437036,0.022668811,0.011763529,0.083505414
414,0.029364472,0,0.01886721,0.047550123,0.016547265,0.046334218,0,0.033312868,0.037749723,0,0.012925789,0.192739457,0.057747375,0,0,0,0.025057713,0.029598184,0.423004925,0.012763578
424,0.091523349,0.064592972,0,0.081786767,0,0.045362577,0,0.122777946,0.100501902,0,0,0.043106541,0.01510148,0,0,0.366144955,0.012407696,0.016795579,0,0
414,0.026497472,0.033949938,0.130630836,0.034500841,0.015238515,0.050112851,0,0.02899293,0.049920902,0,0.017887168,0.055570845,0.033191055,0,0.044758651,0.02689885,0.073590927,0.275899678,0.012829409,0.066937245
414,0,0.0105928,0.028965853,0.06060886,0.033647101,0.150283352,0,0.02884586,0.021703063,0,0.056057416,0.131354436,0.192765579,0.026426503,0,0,0.042932201,0.04666914,0.011143562,0.132971719
38,0,0,0,0.082068637,0.148031607,0.029270606,0,0.078261353,0.194077447,0.107597664,0.032726791,0.157857373,0,0,0,0,0.015315264,0.050313216,0.035772827,0.033633288
410,0,0.010184275,0.152012974,0.053170145,0.013711301,0.05762209,0.026748491,0.048598818,0.027711306,0,0.037988022,0.252023339,0.039044224,0,0,0,0.203936771,0.021368669,0.010723179,0.021345511
414,0,0.060844865,0.048305243,0.046812329,0.022107009,0.152061045,0.010301329,0.059517663,0.196820855,0.012810353,0.058024503,0.08724428,0.045915939,0,0,0,0.067828558,0.065071739,0.017767718,0.021095069
38,0,0.061624873,0.011033405,0.058453377,0.017168609,0.036818463,0,0.302720129,0.026857141,0,0.024111159,0.089816153,0.033717029,0,0,0,0.107435413,0.024499716,0.013383017,0.154945865
38,0.011754326,0.034012131,0,0.215426192,0.034310888,0.033909302,0.078872629,0.141277388,0.012021259,0.022754129,0.024429502,0.219091773,0,0,0,0,0.02071543,0.0499148,0,0.082934909
38,0,0,0,0.148950115,0.167279318,0.069938146,0,0.050084352,0.061200771,0.042373154,0.034957271,0.216911107,0,0.060235132,0,0,0,0.055885963,0.043061893,0.018552398
38,0,0,0,0.034575697,0.138983235,0.036094066,0.133346647,0.167374611,0.094910823,0.117967919,0.01289562,0.171033666,0.016302221,0,0,0,0,0.019220855,0,0.028385801
38,0.017255682,0,0,0.093848944,0.246715739,0.026046412,0,0.145053014,0.178130642,0.016517665,0.042973265,0.153075114,0.016974039,0,0,0,0,0.015090036,0,0
410,0.013735403,0.017648375,0,0.12060941,0.088490836,0.089584947,0.019753475,0.14733839,0.033478681,0.049373504,0.032269318,0.067324787,0.018424492,0.151309371,0,0,0.050180491,0.021710219,0.045400843,0.024866723
38,0.021757478,0.010198875,0,0.075628236,0.101226121,0.034005363,0.023927469,0.081494331,0.057260122,0.011065136,0.040078081,0.407618254,0.016173642,0,0,0,0.034768794,0.053317018,0,0.012187023
414,0.099859826,0.012073459,0.033065319,0.035347965,0.015713964,0.246307611,0,0.086247638,0.109412402,0,0.018293375,0.11954584,0.032173052,0,0,0,0.017430773,0.057916034,0.012525544,0.07447084
38,0.016149884,0,0.011598602,0.170590952,0.09135168,0.043824859,0.027422423,0.173459738,0.065434366,0.037383061,0.066661917,0.156720981,0.011143607,0.020189254,0,0,0,0.025498426,0.062516518,0
410,0,0,0.017450867,0.107102841,0.016558016,0.059391756,0,0.061907876,0.191678628,0,0.060942855,0.107706845,0,0.024006248,0.064145297,0,0.011889773,0.096215345,0.132425323,0.026568804
410,0,0,0.012787324,0.078357399,0.016233439,0.058254078,0,0.053527609,0.038048834,0.045292664,0.169589281,0.134365216,0,0.024461715,0,0,0.029154561,0.174077138,0.122959524,0.025905708
424,0.222248629,0.011197379,0.010259786,0.053404558,0.013935273,0.276837856,0,0.047450218,0.059694253,0,0.01821083,0.145319372,0.01067996,0.026083257,0,0,0.016793739,0.020403173,0.031752985,0.015433954
38,0,0,0,0.180067867,0.093530141,0.045302235,0,0.047193445,0.059087347,0.074420132,0.015825367,0.126509473,0.042554412,0,0,0,0.030621359,0.03469567,0.012182103,0.203256994
38,0.015277179,0,0.018765187,0.081343882,0.106775053,0.031386659,0.028049625,0.074756213,0.257088035,0.037432905,0.028789332,0.161602795,0,0,0.074621998,0,0.014800955,0,0.019899581,0.027076779
414,0,0.061422434,0.048466507,0.048370961,0.022843068,0.102337644,0.010719104,0.072120026,0.118471347,0.013027643,0.026813492,0.10348741,0.035883289,0.010194118,0,0.099529468,0.025294192,0.146664441,0.0183593,0.021797435
424,0,0.015646357,0.035725769,0.023463415,0.037767239,0.094890617,0,0.063106865,0.04571059,0.010328421,0.014030434,0.095074363,0.021591809,0,0,0.32412684,0,0.036441077,0.154518291,0.019655386
