ICD9,T0,T1,T2,T3,T4
38,0,0.030925561,0.105721965,0.047505792,0.81484586
424,0,0.289052784,0,0.308985591,0.395906091
38,0,0.105514824,0.279215217,0,0.60516572
410,0,0.191329673,0.069452971,0.53425467,0.196211681
424,0,0.508440673,0.356616527,0.011477793,0.120885573
414,0,0.273647696,0.662375212,0.039879762,0.021757394
424,0,0.928358376,0.010771758,0.039757669,0.018041929
414,0,0.182807922,0.160159573,0.609473407,0.046335295
424,0.461785436,0.381476104,0.128470555,0,0.024190295
414,0.036781881,0.34120363,0.456013471,0.14867948,0.017321501
414,0,0.291008681,0.386291176,0,0.310319692
38,0.027938994,0.056739897,0,0.071848653,0.838049293
410,0,0.210759759,0.543001294,0.084880479,0.158428192
414,0.186387211,0.541933656,0.218204185,0.020082623,0.03339237
38,0,0.144852176,0.189310148,0.013734802,0.648302436
38,0,0.098280363,0,0.142229825,0.752973258
38,0.026272083,0.154562414,0,0.062545814,0.752522111
38,0,0.135786563,0,0,0.85710603
38,0.084981687,0.078082666,0,0,0.825395882
410,0,0.267941356,0.219688714,0.039890394,0.471052498
38,0.019557022,0.21060358,0.049196687,0.137264937,0.583377779
414,0,0.911026359,0.012723969,0.012477621,0.060184475
38,0,0.148268282,0.041532118,0.126396596,0.682905912
410,0.042652022,0.330463946,0.070824578,0.443737775,0.11232166
410,0.027861055,0.155328065,0.126958728,0.537453115,0.152399078
424,0,0.827755392,0.013101517,0.079394974,0.076815106
38,0,0.270538807,0,0.011360944,0.70743078
38,0.323852003,0.080368683,0.037624266,0.027584856,0.530570149
414,0.341870904,0.357839137,0.094035715,0.169821277,0.036432978
424,0.380118161,0.202029601,0.052341525,0.203364328,0.162146375
414,0,0.935035825,0.014215866,0.019095616,0.027468912
424,0.394301444,0.20438166,0.076516576,0.180218026,0.144582286
414,0,0.826812506,0.091084547,0.058589976,0.021034958
414,0,0.357736886,0.499144346,0.027016835,0.108845636
410,0,0.068038784,0.753294945,0.118984804,0.056369834
38,0,0.167735919,0.48007825,0,0.340182632
38,0,0.251109451,0,0.185346857,0.549551904
410,0,0.059592914,0.77657491,0.073384896,0.08797013
414,0,0.067055419,0.858625114,0,0.064886101
414,0,0.499518871,0.223522067,0,0.264984459
38,0.035077956,0.13296625,0,0.028304322,0.798918188
414,0.32114011,0.197655082,0.040977288,0.300178379,0.14004913
410,0,0.043135341,0.785749972,0.110417277,0.059255976
38,0.01090748,0.340405375,0,0,0.638740718
410,0,0.085382693,0.093975857,0.526785791,0.292699695
414,0,0.320561379,0.597882867,0.013805762,0.063831158
414,0.09627571,0.150425285,0.351811588,0.110638574,0.290848851
38,0,0.246576875,0.121431343,0.105012491,0.525628388
410,0,0.179740295,0.010207428,0.706537485,0.102055274
414,0,0.565734148,0.382816046,0.017702667,0.028947929
414,0,0.773642123,0.020843662,0.087736592,0.112787895
38,0.458831996,0.025198052,0,0,0.511048019
410,0,0.194127575,0.05036208,0.30329597,0.450478017
414,0,0.13750796,0.493506014,0.038992181,0.328599781
424,0,0.351546556,0.086626217,0.317584455,0.24137789
38,0.265280873,0.180217117,0,0.06988088,0.480846107
410,0,0.332192272,0.590635717,0.023929186,0.048617516
38,0.048004393,0.151437506,0,0.13359341,0.6631338
410,0,0.015281365,0.796807289,0.147321433,0.03896429
410,0.016810866,0.480505049,0.315903038,0.068709806,0.118071236
414,0.248540044,0.162086874,0.061688371,0.319525391,0.208159328
410,0,0.073464155,0.877302647,0.022249131,0.025726972
424,0,0.702468216,0.233001813,0.028176608,0.03094415
38,0,0.338829696,0.018892841,0.019493071,0.617591202
38,0,0.178302556,0,0.203931317,0.604198635
38,0,0.302357912,0.030470302,0.023273682,0.64303714
38,0,0.14508453,0,0.147683769,0.695649385
410,0,0.041084971,0.759645402,0.127480403,0.06785243
38,0.032864254,0.249965087,0,0.315493286,0.396680951
38,0.083381355,0.179798424,0,0.03899353,0.695287108
410,0,0.420305699,0.041489001,0.282665044,0.24933964
414,0.064076938,0.146819666,0.652817607,0.120461464,0.015824322
424,0.015418586,0.61622262,0,0,0.357489407
414,0.214329973,0.542531013,0,0.045753114,0.190492734
38,0,0.100253858,0.101852991,0,0.791630566
38,0.027108815,0.333059669,0.016389357,0,0.619981706
414,0.028169509,0.283432543,0.327902615,0.340798408,0.019696929
414,0.03600499,0.91245836,0.014332506,0.014671661,0.022532512
414,0,0.274173826,0.477729231,0.204181522,0.042387635
410,0.017240927,0.109721415,0.153742746,0.699062109,0.0202328
414,0,0.956470668,0.011333515,0.011279899,0.017771861
414,0,0.924079835,0.01891998,0.020062733,0.031523209
414,0,0.485270977,0.451307982,0,0.052585181
414,0,0.664540052,0.283968061,0.020062586,0.026801692
410,0.308750451,0.242498338,0,0.372512013,0.072581284
410,0.512008369,0.126791403,0.092393659,0.058929835,0.209876731
410,0,0.101488471,0,0.871966779,0.020172862
38,0,0.128576264,0,0.055086538,0.811258733
38,0,0.100999072,0.340009123,0.074256271,0.483701944
38,0,0.194047526,0.153156862,0.011115376,0.639919817
38,0,0.243289173,0.040547211,0.012787377,0.701789379
410,0,0.1351019,0.428691149,0.035467789,0.398665935
424,0.06203723,0.802691519,0,0.062595524,0.066711418
424,0,0.733107328,0.012024477,0.011488482,0.24029395
410,0,0.185750395,0.066269681,0.661351681,0.082936995
38,0,0.06531781,0.116565347,0.017740313,0.798514545
38,0,0.390978843,0,0.193507895,0.409339368
38,0.011523442,0.179916471,0.037154175,0.010635956,0.760769963
38,0,0.100913197,0,0,0.880308449
414,0.096280895,0.30346325,0.064195149,0.43854481,0.097515903
38,0.016325239,0.083401375,0.077238798,0.100997493,0.722037137
414,0.032896731,0.892523348,0.017226562,0.012189187,0.045164242
414,0,0.820193172,0.035460722,0,0.132605225
38,0.461058706,0.02747112,0,0,0.501208067
424,0,0.160904765,0.520808399,0.272950858,0.043327771
38,0,0.253170103,0,0.038269613,0.700248063
414,0,0.782234013,0.08638934,0.012244964,0.116910517
38,0,0.168899506,0,0.057208501,0.769835114
410,0,0.115903661,0,0.454700083,0.423803031
414,0.082066178,0.862888694,0.013027652,0.014939521,0.027078001
410,0,0.448869258,0.254651457,0.200058877,0.093023404
424,0,0.852945268,0.028586008,0.048613485,0.061673053
414,0,0.330528438,0.55488348,0.078472473,0.03046594
414,0,0.883918583,0.023073073,0.031699084,0.056505103
410,0.125050768,0.213144019,0.112880602,0.129787624,0.419137001
424,0,0.832472444,0.114152916,0.033289604,0.01734527
414,0,0.702663839,0.178067178,0.082523532,0.031097652
414,0,0.661537707,0.289922178,0.016267996,0.028231107
414,0,0.05226291,0.784770429,0.100435525,0.057906151
414,0.026771152,0.354855835,0.144327357,0.357154369,0.116891257
424,0.130716681,0.673407555,0.010528838,0.047267146,0.138079807
38,0,0.300560802,0,0.031703856,0.6587466
410,0,0.051446598,0.64801693,0.060265929,0.239202663
410,0,0.135162607,0.694377065,0.123655818,0.039933514
410,0,0.094904147,0.205361679,0.306713939,0.391488284
38,0.200700626,0.042332463,0.010691974,0,0.743455648
410,0.010299826,0.150514007,0.061784443,0.670060515,0.107341222
424,0.42950049,0.193646461,0.073764168,0.084248193,0.218840688
38,0,0.202347785,0.020730114,0.040136512,0.735776544
38,0,0.262154877,0,0.024690622,0.710029483
414,0,0.66375792,0.277487397,0,0.050089654
410,0,0.902360618,0.024528749,0.024790196,0.041057121
410,0,0.226228476,0.467310011,0.028118791,0.275601178
410,0,0.106804341,0.011533689,0.544877291,0.334776491
410,0.130282253,0.527342737,0.20296222,0.108463712,0.030949082
410,0,0.22887066,0.39897877,0.036449209,0.332391083
424,0,0.928020895,0.025521681,0.020683387,0.021852836
38,0,0.310643256,0.194375336,0,0.48505646
414,0,0.325954616,0.602625132,0.01811434,0.048841245
424,0.459504545,0.186385006,0.031936429,0.022714341,0.299459636
424,0,0.611385763,0.339566439,0.017900208,0.026161861
424,0.09639468,0.749365807,0.103252031,0,0.041183949
410,0,0.633888006,0.049387734,0.111927301,0.20205602
414,0,0.195041612,0.120575286,0.657165229,0.025724901
38,0.041819822,0.024648443,0.019408187,0.026179723,0.887943864
424,0,0.798076212,0.012622179,0.16446358,0.021137623
410,0,0.236812845,0.464714646,0.022999799,0.270063162
38,0.021339213,0.058366492,0,0.013358168,0.897439837
414,0.019346219,0.174870849,0.36781165,0.285182565,0.152788699
414,0,0.437788218,0.291571409,0.164839298,0.102404319
410,0,0.253612995,0.589029312,0.050583642,0.105828539
424,0,0.873502493,0.072389267,0.018411648,0.030281985
424,0,0.883381665,0.024958791,0.027551606,0.056855317
424,0.013295117,0.555923879,0.316948384,0.045461725,0.068370864
38,0,0.178615466,0.030997237,0.034696423,0.7533921
414,0,0.165600285,0.75619626,0.033485547,0.043049384
424,0,0.704434633,0.116317481,0,0.163363084
410,0,0.342354476,0.465508223,0.015236755,0.173754603
410,0,0.080678433,0.832355499,0.054593641,0.030784687
424,0,0.697844803,0,0.132741168,0.16225554
38,0.110714644,0,0.023666544,0.017061494,0.839152575
410,0,0.197229356,0.500500977,0.016812818,0.280657649
414,0,0.545170844,0.332756311,0.100606658,0.01853732
38,0.016946433,0.379166305,0.029868547,0,0.567635715
414,0.447142482,0.387458533,0.065104917,0.090960838,0
414,0.310172349,0.398462802,0,0.027790306,0.25596422
410,0,0.136661187,0.133921385,0.555070579,0.173009366
38,0,0.443489671,0.011468504,0.011673176,0.530371428
424,0,0.883024156,0.029836277,0.030864509,0.047532927
410,0,0.366964281,0.010778492,0.457189679,0.162069023
410,0,0.031491198,0.379210621,0.035927214,0.552101493
410,0,0.034752972,0.594761312,0.301980376,0.067047022
38,0,0.129156262,0,0,0.859709561
424,0.05076604,0.891369283,0.015468472,0.01636287,0.026033325
410,0,0.21839197,0.041954834,0.673556685,0.063877031
414,0,0.759102881,0.194169611,0.015248305,0.027166434
414,0,0.312875211,0.48708868,0.131407544,0.065691046
410,0,0.231949583,0.079872757,0.604854882,0.079404585
38,0.028947983,0.192754492,0,0,0.767403841
424,0.012041117,0.170590132,0.173938259,0.38267988,0.260750622
424,0,0.845843375,0.014318416,0.015989287,0.119929634
414,0.073743872,0.54041791,0.167448133,0.158354372,0.060035694
38,0.421580315,0.195677698,0,0.02932772,0.349819899
38,0,0.160966679,0.060514856,0,0.766574323
414,0,0.537426591,0.429485798,0.010425487,0.019730933
38,0,0.108161815,0,0.358600438,0.525788546
38,0.068845436,0.120278649,0.01898694,0.203499362,0.588389575
410,0,0.19587478,0.046465009,0.087235898,0.669422805
414,0,0.10723795,0.417775929,0.272779971,0.193451852
410,0,0.427036017,0.370531589,0.03848736,0.162648663
414,0,0.418958515,0.1872278,0.267304271,0.124366075
424,0,0.780383229,0.139476031,0.011372718,0.065966308
38,0,0.114048831,0.033144195,0.089023456,0.762595952
424,0,0.866349638,0.046172738,0.015575333,0.067861602
414,0,0.352818936,0.033787504,0.490188301,0.120626621
410,0,0.078334354,0.449269533,0.414922029,0.055293594
414,0,0.607398808,0.220004156,0.142717853,0.026949294
410,0,0.666816354,0.01608192,0.093698598,0.21960175
410,0,0.085298732,0.581683993,0.070581429,0.261041313
410,0,0.329745293,0.469551623,0.015232196,0.182245061
424,0.061989255,0.906147242,0,0,0.014419816
38,0,0.223715946,0.014123327,0.123282522,0.637701035
38,0.106820717,0.171472788,0,0.026866235,0.691547573
424,0,0.553075135,0.022209721,0.38795495,0.031570017
414,0,0.298989922,0.125098094,0.267680317,0.306013703
410,0.023174247,0.140797332,0.01708818,0.683117867,0.135822371
410,0,0.155782551,0.102590054,0.609556615,0.131163076
38,0,0.281494588,0.066033915,0.045941997,0.605190516
414,0,0.319917321,0,0.297911197,0.373532563
410,0.023849456,0.569364548,0.103353389,0.246334597,0.057097971
424,0.017331218,0.805767298,0.011082996,0.091587469,0.074231021
410,0,0.349774241,0.306819499,0.061463691,0.280252635
410,0,0.157716304,0.650027931,0.174848855,0.015021632
424,0,0.942357719,0.013402183,0.012858542,0.028157292
410,0,0.122807182,0.719548166,0.083103754,0.072015226
414,0.023398692,0.334620774,0.415341735,0.182009637,0.044629168
410,0.039417528,0.245684862,0,0.549969375,0.156973347
38,0.309081644,0.153840497,0,0.071673572,0.462324828
424,0,0.875178039,0,0.030713186,0.082582422
414,0,0.763005793,0.024140982,0.162760735,0.042839941
38,0,0.277927399,0.093663283,0,0.619763136
38,0.217443272,0.089106306,0.021199802,0.016899388,0.655351281
414,0,0.903866887,0.012962787,0.013734007,0.06563402
414,0.016340306,0.366408527,0.219115511,0.044157747,0.353977859
410,0,0.150708362,0.047354747,0.751972973,0.048470799
38,0,0.15922828,0.109093912,0,0.726971328
38,0,0.144634441,0,0.030294174,0.817329228
414,0,0.130963162,0.492394209,0,0.365502208
410,0.01100891,0.632234275,0.249571055,0.038803861,0.068381839
38,0,0.052210283,0,0,0.937102735
414,0.072658986,0.687215447,0.143666312,0.010326282,0.086132951
38,0.492933959,0.018680338,0,0,0.480618328
414,0,0.33585605,0.324836969,0.026536021,0.306572616
38,0.014348728,0.099593259,0.06658721,0.108788155,0.710682631
414,0,0.641859949,0.030087978,0.272628665,0.046680152
414,0,0.188615218,0.206031561,0.491308153,0.107172824
424,0,0.798180103,0.144075185,0.019215249,0.032880887
414,0,0.760423183,0.189881548,0.017939571,0.027443217
38,0,0.108248033,0,0,0.874567449
424,0.625040829,0.326713622,0.012285369,0.013286917,0.0226733
414,0,0.689846814,0.023011761,0.049337275,0.23189196
424,0,0.643597722,0.160751462,0.012690887,0.179733828
424,0,0.680470526,0.23220478,0.01451306,0.068639725
414,0,0.727885365,0.074712105,0.155733034,0.036019489
414,0,0.475918263,0.011149001,0.011507714,0.498114944
38,0.03445809,0.051734529,0,0.025988739,0.883575678
38,0,0.021959139,0.305171341,0.045459636,0.626140833
38,0,0.145702332,0,0.063051663,0.78672272
38,0,0.140196368,0,0,0.846945405
38,0,0.310630411,0.061541509,0.144188449,0.480142087
410,0,0.603140712,0.022671275,0.165602088,0.204121366
38,0.231596842,0.131993577,0.013356418,0.168327361,0.454725832
38,0,0.239907548,0,0.056977823,0.697847724
38,0,0.178990737,0.056752034,0.039504044,0.72380358
38,0.037034702,0.255634606,0,0.037316885,0.667946517
410,0.016062124,0.322715849,0.086150803,0.32911247,0.245958805
424,0.035847694,0.659612656,0.019849295,0.191308305,0.093382075
414,0,0.704160273,0.202907801,0.040335383,0.04740677
424,0.011464782,0.499277681,0.269064635,0,0.213828906
410,0.023292774,0.317583978,0,0.245728225,0.404321015
38,0.035131928,0.175388739,0,0.022410747,0.76335752
424,0,0.590174973,0.282081753,0.086016722,0.035816025
38,0.041644473,0.21139057,0,0.139423013,0.601218641
38,0.038778402,0.194870189,0.019032696,0.0353311,0.711987674
414,0,0.931509733,0.015410216,0.010649845,0.03950043
38,0.019677894,0.242232397,0.298455775,0.054199249,0.385434717
410,0.057178333,0.466676652,0.023347145,0.032813959,0.419983953
410,0.030992087,0.198216394,0.074421905,0.5028584,0.193511277
38,0,0.218248814,0,0.036150433,0.741668344
38,0.225001425,0.152240872,0.03642625,0.163069457,0.423262
424,0,0.458559573,0.20817104,0.193235442,0.136808887
424,0.016284924,0.119677588,0,0.748116374,0.110634036
414,0.054504767,0.27870968,0.444003731,0.125517294,0.097264491
410,0,0.065764047,0.660524964,0.017609674,0.252514452
410,0,0.443694979,0.162437692,0.259493083,0.127855271
38,0,0.13887088,0,0.085466839,0.77164942
424,0.65670377,0.240720034,0,0.041905869,0.057835698
414,0,0.648092806,0.180660516,0.025288172,0.1397596
38,0,0.044866517,0,0.042790733,0.90618372
410,0,0.471656054,0.164992154,0.137644231,0.222905502
410,0,0.027858201,0.769636989,0.177651122,0.022113368
414,0,0.659258127,0.046430901,0.224283367,0.061842907
410,0,0.101396948,0.23727563,0.628738761,0.027789023
410,0,0.237349689,0.63392669,0.107447632,0.018892514
38,0,0.199974746,0.110499866,0.135365218,0.552717865
414,0,0.051774591,0.710971773,0.040481471,0.1946982
414,0,0.781860113,0.027657431,0.028430942,0.154790789
410,0.148834184,0.197688356,0.238047853,0.169549167,0.245880425
38,0.010614272,0.128942236,0.048645604,0.039528441,0.772269428
424,0,0.952839613,0.010452375,0.010743507,0.022896186
38,0,0.253616542,0.010417847,0.094811283,0.640029013
410,0,0.13471055,0.157973334,0.387899607,0.315373391
38,0.048294015,0.168511227,0.020795068,0.045054741,0.717344999
424,0.332913339,0.473422378,0,0.171843231,0.013873963
38,0.132567361,0.123188101,0.363876164,0,0.375777215
414,0,0.20483698,0.057841554,0.43099165,0.30473727
424,0.010131545,0.347762853,0.547508121,0.035393745,0.059203792
410,0,0.213409603,0.269834608,0.470172286,0.04440365
38,0.015430427,0.217664868,0,0.050228339,0.711618125
414,0.137004718,0.46553728,0.298676103,0.041321475,0.057460416
414,0,0.323411763,0.2182758,0.434742779,0.020258768
38,0.020710662,0.124548897,0,0,0.84431535
414,0,0.481443375,0.296257436,0.20271267,0.017012661
410,0,0.070044421,0,0.137346521,0.78046298
410,0,0.264615119,0.484997183,0,0.238041893
410,0,0.038568843,0.787496626,0.160895199,0.011280441
38,0.130905017,0.178235233,0,0.072277829,0.614713192
414,0,0.448885441,0.49176687,0.01869821,0.035240006
424,0,0.79800874,0.047473408,0.038643859,0.109360754
410,0,0.165241346,0.07225357,0.746514797,0.014128495
424,0,0.948410094,0.014186971,0.013292457,0.020524453
424,0,0.57808435,0.229420871,0.158028454,0.030001715
38,0.012325344,0.312994868,0,0.241950586,0.428117067
414,0,0.393179476,0.162467182,0.211730719,0.231286868
424,0.038975202,0.404080003,0.01253406,0.023643028,0.520767689
414,0,0.131822675,0.73052907,0.108968265,0.025610201
414,0.018070512,0.332806706,0.246121764,0.056337517,0.346663535
410,0,0.089969873,0.300600976,0.252591401,0.347567588
414,0,0.295906752,0.631740928,0.042140264,0.028522654
414,0,0.789576232,0.149297714,0.010403044,0.04814123
38,0,0.040524919,0.177431658,0.041845016,0.738899887
38,0,0.294717908,0,0.134056702,0.564968884
410,0,0.188550577,0.09742526,0.398237824,0.315010339
410,0,0.556393683,0.246295452,0.06502986,0.124091186
38,0.04530178,0.255986065,0.134315327,0.090275295,0.474121541
38,0,0.086849213,0.083820775,0.044481605,0.783422649
414,0,0.59727335,0.010471824,0.074671365,0.315575331
414,0,0.7700212,0.168077037,0.045764785,0.013755195
414,0,0.56470722,0.10056562,0.150400296,0.180929691
414,0.033484191,0.442491621,0.379977226,0.020887228,0.123159707
410,0,0.085227579,0.206962004,0.607266963,0.098019294
414,0,0.881561875,0.017873432,0.058933411,0.0366344
38,0.03734336,0.076291129,0.191182271,0,0.688916266
38,0,0.144708455,0.575107455,0,0.267529994
414,0,0.931674898,0.016567722,0.017762799,0.029008243
38,0,0.216266364,0,0.106052227,0.669698834
410,0,0.013357851,0.138617471,0.813439012,0.033526909
38,0.337747425,0.039784439,0,0.052345227,0.566595018
414,0,0.171477243,0.60043788,0.113192245,0.111497484
414,0.597422779,0.340590626,0.038501572,0,0.017490005
410,0.03596903,0.325253844,0.098777652,0.251851082,0.288148403
38,0.04997322,0.079992309,0.011941789,0.075867452,0.782225192
414,0,0.062240712,0.565951347,0.108403951,0.260540485
424,0.089787751,0.78678751,0.062513836,0.010327205,0.050583664
38,0.012619482,0.067651391,0.21134305,0.065323584,0.643062472
410,0.015044127,0.247778326,0.155572951,0.40566355,0.175941035
410,0,0.060585249,0.30510205,0.040420484,0.591150761
424,0,0.477695644,0.176286831,0.303303778,0.037053544
410,0,0.278584301,0,0.247255981,0.466818869
424,0.1680675,0.634533107,0.012611281,0.036405485,0.148382634
410,0,0.327539146,0.026872326,0.239935577,0.404673785
38,0.029005943,0.160060003,0.028678661,0.032071069,0.750184298
38,0,0.138508692,0.01738636,0.098398022,0.744518936
38,0.030414579,0.09783458,0,0.016775342,0.850857139
38,0,0.2863819,0,0.012075318,0.690734029
410,0.089733064,0.25052011,0.122186705,0.254187226,0.283372849
414,0,0.170884684,0.756394804,0.014210458,0.055113789
414,0,0.208105609,0.644346833,0.119567975,0.024063351
38,0.215042174,0.202190563,0,0.068837509,0.509578228
38,0,0.216481715,0,0,0.775568962
38,0,0.161562443,0,0.048417997,0.782865524
38,0.033000767,0.160853654,0.013216914,0.052665096,0.740263581
424,0,0.803257704,0.096437797,0.064367473,0.033462279
424,0,0.749775052,0.022263378,0.023928363,0.198119238
410,0,0.09214969,0.886998475,0,0.011248776
414,0,0.921269357,0.018456509,0.021976775,0.032866322
410,0.014842668,0.344656497,0.50603056,0.05041264,0.084057659
410,0,0.299413055,0.230180457,0.357199788,0.111729577
38,0,0.472245693,0,0.178630218,0.342546493
38,0,0.048439704,0,0,0.944350243
38,0,0.115152344,0,0.025078502,0.852796435
410,0.104094706,0.102398023,0.083959401,0.364139885,0.345408022
410,0,0.125363842,0.150369108,0.554549456,0.166320205
424,0.054547206,0.77264148,0.050672594,0,0.112187847
424,0.112751707,0.306529105,0,0.207786843,0.370696843
414,0.571907461,0.272411734,0.017143844,0.113506906,0.025029989
410,0,0.724995255,0.018153625,0.211349696,0.040696394
414,0,0.535921752,0.255149335,0.180204853,0.025034048
414,0.035405315,0.371228099,0.03998246,0.468484849,0.084899254
414,0,0.593539596,0.22999236,0.129981339,0.045011371
414,0.632287025,0.210788414,0,0.087098934,0.067119583
38,0,0.123459786,0.137107849,0.093314849,0.639912426
414,0.05654601,0.848052621,0.012899525,0.011937847,0.070563994
414,0,0.217526689,0.556924284,0.051186483,0.170446128
